L1,,L2,,L3,,L4,,L5
West Coast Pier,9:0,West Coast Pier,9:0,West Coast Pier,9:0,Marina South Pier,9:0,Marina South Pier,9:0,
West Coast Pier,9:0,West Coast Pier,9:0,West Coast Pier,9:0,Marina South Pier,9:0,Marina South Pier,9:0,Z28,9:43,Z22,9:45,,,Z11,9:19,Z04,9:54,
Z28,9:43,Z22,9:45,,,Z11,9:19,Z04,9:54,Z27,9:58,Z23,9:56,,,Z08,9:37,Z03,10:0,
Z27,9:58,Z23,9:56,,,Z08,9:37,Z03,10:0,Z29,10:12,Z25,10:10,,,,,Z01,10:16,
Z29,10:12,Z25,10:10,,,,,Z01,10:16,,,,,,,,,Z06,10:53,
,,,,,,,,Z06,10:53,West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,
West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,Z18,12:41,,,,,,,Z24,12:8,
Z18,12:41,,,,,,,Z24,12:8,Z21,12:55,,,,,,,Z27,12:30,
Z21,12:55,,,,,,,Z27,12:30,,,,,,,,,Z30,12:53,
,,,,,,,,Z30,12:53,,,,,,,,,,,
,,,,,,,,,,
