L1,,L2,,L3,,L4,,L5
West Coast Pier,9:0,West Coast Pier,9:0,West Coast Pier,9:0,Marina South Pier,9:0,Marina South Pier,9:0,
West Coast Pier,9:0,West Coast Pier,9:0,West Coast Pier,9:0,Marina South Pier,9:0,Marina South Pier,9:0,Z29,9:44,Z31,9:47,,,Z06,9:40,Z08,9:32,
Z29,9:44,Z31,9:47,,,Z06,9:40,Z08,9:32,Z27,9:59,Z32,9:58,,,Z03,10:3,Z11,9:49,
Z27,9:59,Z32,9:58,,,Z03,10:3,Z11,9:49,Z22,10:13,,,,,Z01,10:19,,,
Z22,10:13,,,,,Z01,10:19,,,Z25,10:31,,,,,Z04,10:39,,,
Z25,10:31,,,,,Z04,10:39,,,West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,Marina South Pier,11:30,Marina South Pier,11:30,
West Coast Pier,11:30,West Coast Pier,11:30,West Coast Pier,11:30,Marina South Pier,11:30,Marina South Pier,11:30,,,Z18,12:41,Z33,12:9,Z05,12:9,Z04,12:26,
,,Z18,12:41,Z33,12:9,Z05,12:9,Z04,12:26,,,Z21,12:55,Z30,12:26,Z10,12:25,Z01,12:44,
,,Z21,12:55,Z30,12:26,Z10,12:25,Z01,12:44,,,,,Z27,12:37,,,Z06,13:22,
,,,,Z27,12:37,,,Z06,13:22,,,,,Z24,13:4,,,,,
,,,,Z24,13:4,,,,,
